,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
875,0.7571428571428571,0.8523809523809524,molWeight,molLogS,molArea,Complexity
1601,0.7714285714285715,0.8571428571428571,molWeight,molArea,nof_Atoms,nof_posCharge
1686,0.7952380952380953,0.8571428571428571,molWeight,molArea,molCharge_total,Complexity
1728,0.7952380952380953,0.8571428571428571,molWeight,molArea,Complexity,C_R1
1731,0.7857142857142858,0.880952380952381,molWeight,molArea,Complexity,posCharge/Volume
1737,0.880952380952381,0.8523809523809524,molWeight,molArea,Complexity,nof_SH
1738,0.8238095238095239,0.880952380952381,molWeight,molArea,Complexity,nof_NH2
2019,0.7666666666666667,0.8523809523809524,molWeight,PSA/Area,nof_Rings,nof_SH
2119,0.7,0.8571428571428571,molWeight,PSA/Area,C_R0,negCharge/Volume
2310,0.6761904761904762,0.8857142857142858,molWeight,nof_Atoms,Complexity,nof_Fragments
2313,0.7333333333333333,0.8571428571428571,molWeight,nof_Atoms,Complexity,nof_SH
2559,0.7904761904761906,0.8523809523809524,molWeight,nof_Chirals,Complexity,C_sp3
2561,0.6761904761904762,0.8571428571428571,molWeight,nof_Chirals,Complexity,negCharge/Volume
2765,0.8238095238095238,0.9142857142857144,molWeight,nof_HBA,nof_Rings,Complexity
2788,0.6714285714285714,0.8523809523809524,molWeight,nof_HBA,Complexity,C_R1
2792,0.7142857142857142,0.8523809523809524,molWeight,nof_HBA,Complexity,negCharge/Volume
2795,0.8285714285714285,0.8523809523809524,molWeight,nof_HBA,Complexity,nof_PO4
2798,0.7857142857142857,0.8571428571428571,molWeight,nof_HBA,Complexity,nof_NH2
2799,0.7904761904761904,0.8523809523809524,molWeight,nof_HBA,Complexity,nof_COOH
2995,0.8,0.8571428571428571,molWeight,nof_HBD,Complexity,nof_negCharge
3000,0.8238095238095238,0.8571428571428573,molWeight,nof_HBD,Complexity,C_sp3
3010,0.7333333333333333,0.8857142857142858,molWeight,nof_HBD,Complexity,nof_OH
3165,0.8238095238095238,0.8523809523809524,molWeight,molCharge_total,nof_Rings,Complexity
3199,0.7999999999999999,0.8523809523809524,molWeight,molCharge_total,Complexity,nof_COOH
3558,0.8857142857142858,0.8523809523809524,molWeight,Complexity,nof_negCharge,nof_acetyl
3593,0.7285714285714285,0.9142857142857144,molWeight,Complexity,C_R1,nof_Fragments
3640,0.7666666666666667,0.8523809523809524,molWeight,Complexity,negCharge/Volume,nof_COOH
3665,0.8476190476190476,0.8523809523809524,molWeight,Complexity,nof_SO3H,nof_NH2
3770,0.7666666666666667,0.8523809523809524,molWeight,nof_posCharge,negCharge/Volume,nof_RotB
5639,0.7380952380952381,0.8571428571428573,molVolume,molArea,PSA/Area,a_heavy
5765,0.7619047619047619,0.880952380952381,molVolume,molArea,nof_Rings,Complexity
5787,0.8523809523809524,0.9142857142857144,molVolume,molArea,Complexity,C_R2
5788,0.8238095238095239,0.8523809523809524,molVolume,molArea,Complexity,C_R1
5791,0.8190476190476191,0.8523809523809524,molVolume,molArea,Complexity,posCharge/Volume
6847,0.7333333333333333,0.8523809523809524,molVolume,nof_HBA,Complexity,C_R2
6851,0.7380952380952381,0.8523809523809524,molVolume,nof_HBA,Complexity,posCharge/Volume
7067,0.6047619047619047,0.8761904761904763,molVolume,nof_HBD,Complexity,nof_SH
7415,0.8523809523809524,0.8857142857142858,molVolume,nof_Rings,Complexity,nof_posCharge
7427,0.6761904761904762,0.8523809523809524,molVolume,nof_Rings,Complexity,nof_SO3H
7710,0.7428571428571429,0.8761904761904763,molVolume,Complexity,nof_RotB,nof_acetyl
11186,0.7095238095238094,0.8857142857142858,molLogP,nof_Rings,posCharge/Volume,nof_RotB
12332,0.7380952380952381,0.8523809523809524,molLogS,molPSA,nof_HBD,nof_posCharge
12418,0.7666666666666667,0.8571428571428573,molLogS,molPSA,nof_posCharge,nof_SO3H
12464,0.7,0.8523809523809524,molLogS,molPSA,C_R2,nof_SH
12551,0.6714285714285714,0.8571428571428571,molLogS,molPSA,nof_SH,nof_COOH
12552,0.6857142857142857,0.8571428571428571,molLogS,molPSA,nof_SH,nof_OH
13560,0.7666666666666667,0.8523809523809524,molLogS,nof_Chirals,Complexity,nof_acetyl
14555,0.7333333333333333,0.8523809523809524,molLogS,Complexity,a_heavy,nof_RotB
15656,0.7666666666666667,0.8523809523809524,molPSA,molArea,Complexity,nof_acetyl
18431,0.7380952380952381,0.8571428571428571,molArea,PSA/Area,nof_Atoms,nof_COOH
18504,0.7952380952380953,0.8571428571428571,molArea,PSA/Area,molCharge_total,a_heavy
18572,0.7333333333333333,0.8571428571428571,molArea,PSA/Area,nof_posCharge,nof_OH
18685,0.7952380952380953,0.8571428571428571,molArea,PSA/Area,nof_Fragments,nof_NH2
18715,0.6476190476190475,0.8571428571428573,molArea,nof_Atoms,nof_Chirals,nof_posCharge
18757,0.7904761904761904,0.8857142857142858,molArea,nof_Atoms,nof_HBD,Complexity
18819,0.7428571428571428,0.8571428571428571,molArea,nof_Atoms,Complexity,C_R1
18828,0.7904761904761904,0.8523809523809524,molArea,nof_Atoms,Complexity,nof_SH
18832,0.8476190476190476,0.8523809523809524,molArea,nof_Atoms,Complexity,nof_acetyl
19068,0.8190476190476189,0.8571428571428571,molArea,nof_Chirals,Complexity,nof_posCharge
19070,0.7904761904761904,0.880952380952381,molArea,nof_Chirals,Complexity,a_heavy
19074,0.8238095238095238,0.8571428571428571,molArea,nof_Chirals,Complexity,C_sp3
